City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hobyo,SO,79.02,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
6,Orocue,CO,84.04,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
11,Hilo,US,82.13,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
14,Buala,SB,84.02,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
18,Bucerias,MX,83.98,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
26,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
28,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
33,Butaritari,KI,81.63,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
42,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
43,Mount Isa,AU,85.77,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
44,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
47,Harper,LR,79.52,light rain,4.375,-7.7169,Screensaver
48,Sibolga,ID,77.05,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
51,Padang,ID,75.25,light rain,-0.9492,100.3543,Mercure Padang
66,Santa Maria,BR,81.7,clear sky,-29.6842,-53.8069,Hotel Morotin
71,Kapaa,US,82.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
72,Omboue,GA,76.24,moderate rain,-1.5746,9.2618,Hotel Olako
79,Cabo San Lucas,MX,84.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
80,Jaque,PA,79.52,light rain,7.5175,-78.1703,Aventuras Jaque S.A
83,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
84,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
89,Aquiraz,BR,85.21,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
90,Atuona,PF,78.89,clear sky,-9.8,-139.0333,Villa Enata
91,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
93,Rodrigues Alves,BR,79.0,broken clouds,-7.738,-72.6509,Pousada Aconchego
98,Howard Springs,AU,82.31,scattered clouds,-12.497,131.047,buffalo beach hostel
101,San Matias,BO,77.16,scattered clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
103,Hithadhoo,MV,79.97,moderate rain,-0.6,73.0833,Scoop Guest House
105,Morondava,MG,78.49,broken clouds,-20.2833,44.2833,La Case Bambou
115,Galveston,US,77.14,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
119,Candido Mendes,BR,78.93,few clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
120,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
124,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,Hotel Fórum
125,Georgetown,MY,78.75,few clouds,5.4112,100.3354,Cititel Penang
130,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
137,Pauini,BR,75.99,scattered clouds,-7.7136,-66.9764,Casa do Kiwliks
139,Tabou,CI,80.02,light rain,4.423,-7.3528,hotêl doufoulougou
141,Poum,NC,76.53,clear sky,-20.2333,164.0167,Gîte kajeon
142,Alice,US,80.33,broken clouds,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
143,Neiafu,TO,83.08,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
145,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
150,Gopalpur,IN,76.84,broken clouds,19.2667,84.9167,Gopalpur Palm Resort
155,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
156,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
159,Faanui,PF,80.65,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
162,Rawson,AR,76.75,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
166,Green Valley,US,82.36,overcast clouds,31.8543,-110.9937,Best Western Green Valley Inn
168,Mar Del Plata,AR,86.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
171,Meulaboh,ID,75.61,moderate rain,4.1363,96.1285,Kost Pria
183,Mombasa,KE,81.01,scattered clouds,-4.0547,39.6636,Marigold Guest House
186,Alofi,NU,84.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
188,Kieta,PG,80.46,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
197,Acapulco,MX,84.16,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
201,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
209,Sola,VU,81.27,light rain,-13.8833,167.55,Leumerus Bungalows
212,Panalingaan,PH,78.73,few clouds,8.7842,117.4231,I Love Panalingaan View Deck
214,Palmas,BR,75.07,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
224,Kavieng,PG,81.99,moderate rain,-2.5744,150.7967,Nusa Island Retreat
226,Anse-Bertrand,GP,76.95,broken clouds,16.4721,-61.5078,Le Domharry
227,Dhidhdhoo,MV,81.1,scattered clouds,6.8833,73.1,Dhidhoo beach
228,Prachuap Khiri Khan,TH,78.69,broken clouds,12.2167,99.75,ผกากรองรีสอร์ท
233,Port Moresby,PG,76.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
234,Houma,US,75.99,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
236,Mattru,SL,77.23,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
238,Eyl,SO,75.61,clear sky,7.9803,49.8164,Amiin Hotel
243,Pundaguitan,PH,81.99,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
248,Port Blair,IN,81.46,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
249,Kudahuvadhoo,MV,81.09,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
253,Veraval,IN,80.22,broken clouds,20.9,70.3667,Lords Inn Somnath
254,Salinopolis,BR,80.08,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
256,Beira,MZ,82.49,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
261,Trinidad,BO,87.78,scattered clouds,-14.8333,-64.9,Hotel Piesta
262,Osmena,PH,81.81,scattered clouds,10.5208,119.9258,Arjemarkyza Lodge
265,Viesca,MX,79.36,clear sky,25.35,-102.8,LA VIEZCA (Parque Magico)
270,Tual,ID,84.38,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
271,Nyimba,ZM,76.8,overcast clouds,-14.5566,30.8149,Dali Dali Lodge
273,Alvorada,BR,78.58,overcast clouds,-12.48,-49.1247,Cristal Plaza Hotel
274,Pangai,TO,84.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
277,Bilma,NE,78.31,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
280,Port-Gentil,GA,78.76,light rain,-0.7193,8.7815,Fengshui Residence
283,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
286,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
290,Bonthe,SL,80.02,light rain,7.5264,-12.505,Bonthe Holiday Village
293,Pilar,BR,76.93,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
296,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
299,Jacareacanga,BR,80.85,moderate rain,-6.2222,-57.7528,Casa do Ian😎
300,Singaraja,ID,76.96,moderate rain,-8.112,115.0882,Puri Bagus Lovina Resort
307,San Diego De Los Banos,CU,75.65,overcast clouds,22.6467,-83.3697,Casa Nalúa - Nalúa Enea
314,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
327,Dingle,PH,76.19,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
330,Tiarei,PF,87.82,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
334,Bonoua,CI,82.02,light rain,5.2741,-3.595,Hotel Bon Samaritian
336,Tautira,PF,87.82,few clouds,-17.7333,-149.15,Pension Oaoa
342,Los Arabos,CU,80.15,broken clouds,22.7281,-80.7214,Motel Los Pinos
348,San Patricio,US,80.47,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
350,Ocos,GT,84.31,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
353,Reconquista,AR,78.4,clear sky,-29.15,-59.65,Grand Hotel
356,Bac Ninh,VN,75.29,overcast clouds,21.1833,106.05,Nhà Nghỉ Xuân Hòa
360,Daru,PG,80.8,broken clouds,-9.0763,143.2092,Daru Lodge
363,Rio Grande,BR,78.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
364,Bengkulu,ID,75.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
366,Laureles,US,82.38,scattered clouds,26.1092,-97.4941,Los Fresnos Inn
374,Kirakira,SB,83.7,few clouds,-10.4544,161.9205,SanBiz Lodge
