City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gannan,CN,2021-11-20 16:00:20,47.9147,123.5031,13.78,95,40,2.06
1,Russellville,US,2021-11-20 16:00:20,35.2784,-93.1338,50.79,58,95,4.34
2,Mastic Beach,US,2021-11-20 16:00:21,40.7668,-72.8521,47.1,51,1,3.0
3,Bilma,NE,2021-11-20 16:00:21,18.6853,12.9164,88.03,15,91,3.58
4,Saint Anthony,US,2021-11-20 16:00:22,45.0205,-93.218,39.34,100,75,1.01
5,Esperance,AU,2021-11-20 16:00:22,-33.8667,121.9,57.02,72,2,17.2
6,Tura,IN,2021-11-20 16:00:23,25.5198,90.2201,63.48,76,6,3.15
7,Karasburg,NA,2021-11-20 16:00:23,-28.0167,18.75,87.67,8,8,17.09
8,Rikitea,PF,2021-11-20 16:00:24,-23.1203,-134.9692,73.04,64,100,8.63
9,Mayo,US,2021-11-20 16:00:24,38.8876,-76.5119,47.32,62,55,4.0
10,Qaqortoq,GL,2021-11-20 16:00:25,60.7167,-46.0333,36.1,99,100,11.23
11,Busselton,AU,2021-11-20 16:00:25,-33.65,115.3333,58.59,63,33,12.57
12,Cape Town,ZA,2021-11-20 15:59:15,-33.9258,18.4232,76.12,50,20,19.57
13,Frankfort,ZA,2021-11-20 16:00:26,-27.2667,28.4833,65.7,63,70,12.28
14,Uvinza,TZ,2021-11-20 16:00:26,-5.1036,30.3911,74.48,69,80,2.66
15,Albany,US,2021-11-20 16:00:13,42.6001,-73.9662,42.31,64,30,1.01
16,Wajima,JP,2021-11-20 16:00:27,37.4,136.9,52.43,64,2,6.26
17,Dingle,PH,2021-11-20 16:00:27,10.9995,122.6711,76.5,91,59,4.27
18,Lavrentiya,RU,2021-11-20 16:00:28,65.5833,-171.0,1.49,75,80,5.26
19,Monster,NL,2021-11-20 16:00:28,52.0258,4.175,52.07,83,75,4.0
20,Kapaa,US,2021-11-20 16:00:28,22.0752,-159.319,75.52,66,75,5.75
21,Bredasdorp,ZA,2021-11-20 16:00:29,-34.5322,20.0403,65.28,66,96,18.66
22,Thompson,CA,2021-11-20 16:00:29,55.7435,-97.8558,19.45,85,100,13.62
23,Samarai,PG,2021-11-20 16:00:30,-10.6167,150.6667,80.69,81,68,11.12
24,Namibe,AO,2021-11-20 16:00:31,-15.1961,12.1522,72.07,67,46,10.29
25,Banamba,ML,2021-11-20 16:00:31,13.55,-7.45,97.97,9,49,15.3
26,Khatanga,RU,2021-11-20 16:00:31,71.9667,102.5,-25.04,99,98,5.86
27,Te Anau,NZ,2021-11-20 16:00:32,-45.4167,167.7167,47.95,94,100,1.28
28,Iqaluit,CA,2021-11-20 16:00:32,63.7506,-68.5145,13.69,85,100,25.99
29,Sao Gabriel Da Cachoeira,BR,2021-11-20 16:00:33,-0.1303,-67.0892,74.7,97,100,1.57
30,Vaitape,PF,2021-11-20 16:00:33,-16.5167,-151.75,80.24,77,71,20.24
31,Tahta,EG,2021-11-20 16:00:34,26.7693,31.5021,71.06,34,11,8.48
32,Mataura,NZ,2021-11-20 16:00:34,-46.1927,168.8643,50.31,99,100,3.0
33,Chokurdakh,RU,2021-11-20 16:00:35,70.6333,147.9167,-6.09,100,100,3.38
34,Nikolskoye,RU,2021-11-20 16:00:35,59.7035,30.7861,37.87,77,95,12.68
35,Hithadhoo,MV,2021-11-20 16:00:35,-0.6,73.0833,81.07,81,100,16.35
36,Narsaq,GL,2021-11-20 16:00:36,60.9167,-46.05,35.82,99,100,7.14
37,Victoria,HK,2021-11-20 15:58:28,22.2855,114.1577,75.38,82,87,5.99
38,Xam Nua,LA,2021-11-20 16:00:37,20.4197,104.0439,62.29,85,7,2.48
39,Qaanaaq,GL,2021-11-20 16:00:37,77.484,-69.3632,-5.28,71,17,6.93
40,Talnakh,RU,2021-11-20 16:00:37,69.4865,88.3972,-16.04,92,27,8.84
41,Jamestown,US,2021-11-20 15:59:44,42.097,-79.2353,38.01,63,100,13.0
42,Jieshi,CN,2021-11-20 16:00:38,22.8134,115.8257,70.9,81,40,16.51
43,Tuktoyaktuk,CA,2021-11-20 16:00:38,69.4541,-133.0374,-3.39,88,100,7.2
44,Chuy,UY,2021-11-20 16:00:39,-33.6971,-53.4616,80.33,42,0,10.47
45,Cayenne,GF,2021-11-20 16:00:04,4.9333,-52.3333,89.64,78,37,7.0
46,Straumen,NO,2021-11-20 16:00:39,63.8709,11.2999,40.95,76,100,8.88
47,Lorengau,PG,2021-11-20 16:00:40,-2.0226,147.2712,81.14,69,58,1.07
48,Nome,US,2021-11-20 16:00:40,64.5011,-165.4064,-0.89,78,8,6.71
49,Castro,BR,2021-11-20 16:00:40,-24.7911,-50.0119,73.0,57,75,4.94
50,Mareeba,AU,2021-11-20 16:00:41,-17.0,145.4333,66.92,92,2,2.46
51,Punta Arenas,CL,2021-11-20 16:00:41,-53.15,-70.9167,46.51,53,75,40.29
52,Antalaha,MG,2021-11-20 16:00:42,-14.9003,50.2788,75.63,80,8,5.08
53,Port Alfred,ZA,2021-11-20 16:00:42,-33.5906,26.891,65.12,67,63,16.28
54,Ribeira Grande,PT,2021-11-20 16:00:43,38.5167,-28.7,63.0,94,75,25.32
55,Abashiri,JP,2021-11-20 16:00:43,44.0213,144.2697,37.94,83,100,8.08
56,Mahebourg,MU,2021-11-20 16:00:44,-20.4081,57.7,77.25,66,12,11.5
57,Kruisfontein,ZA,2021-11-20 16:00:44,-34.0033,24.7314,63.88,69,77,18.28
58,Rock Springs,US,2021-11-20 16:00:26,41.5875,-109.2029,35.24,82,1,1.99
59,Ahipara,NZ,2021-11-20 16:00:45,-35.1667,173.1667,58.23,96,55,6.33
60,Grindavik,IS,2021-11-20 16:00:46,63.8424,-22.4338,34.27,75,75,9.22
61,Ushuaia,AR,2021-11-20 16:00:27,-54.8,-68.3,40.82,64,81,19.8
62,Bluff,NZ,2021-11-20 16:00:46,-46.6,168.3333,52.14,95,100,5.41
63,Dumraon,IN,2021-11-20 16:00:47,25.55,84.15,70.63,42,79,6.69
64,Bambanglipuro,ID,2021-11-20 16:00:47,-7.95,110.2833,77.22,87,99,2.35
65,Barrow,US,2021-11-20 16:00:48,71.2906,-156.7887,8.62,72,90,11.5
66,Samfya,ZM,2021-11-20 16:00:48,-11.3649,29.5565,82.22,41,72,6.46
67,Iralaya,HN,2021-11-20 16:00:48,15.0,-83.2333,82.71,65,98,11.12
68,Waingapu,ID,2021-11-20 16:00:49,-9.6567,120.2641,82.99,75,95,3.13
69,Pisco,PE,2021-11-20 16:00:49,-13.7,-76.2167,67.01,84,100,5.79
70,Kodiak,US,2021-11-20 16:00:50,57.79,-152.4072,33.85,72,100,32.26
71,Hit,IQ,2021-11-20 16:00:50,33.6416,42.8251,68.05,33,99,7.23
72,Dudinka,RU,2021-11-20 15:57:10,69.4058,86.1778,-10.95,90,65,14.81
73,Arlit,NE,2021-11-20 16:00:50,18.7369,7.3853,93.29,10,54,7.47
74,Severo-Kurilsk,RU,2021-11-20 16:00:51,50.6789,156.125,36.41,94,99,6.87
75,Vaini,TO,2021-11-20 16:00:51,-21.2,-175.2,78.03,75,1,6.08
76,Garowe,SO,2021-11-20 16:00:52,8.4054,48.4845,78.48,46,34,18.34
77,Souillac,MU,2021-11-20 16:00:52,-20.5167,57.5167,77.36,68,45,11.52
78,Geraldton,AU,2021-11-20 15:57:07,-28.7667,114.6,64.81,68,0,5.75
79,Wukari,NG,2021-11-20 16:00:53,7.85,9.7833,94.6,30,30,3.42
80,Hermanus,ZA,2021-11-20 16:00:53,-34.4187,19.2345,75.9,69,40,20.58
81,Shenzhen,CN,2021-11-20 15:56:47,22.5455,114.0683,75.27,89,26,8.14
82,Avarua,CK,2021-11-20 16:00:54,-21.2078,-159.775,73.45,78,36,5.75
83,Yar-Sale,RU,2021-11-20 16:00:54,66.8333,70.8333,5.72,94,100,18.88
84,Port Elizabeth,ZA,2021-11-20 16:00:55,-33.918,25.5701,66.09,71,43,16.31
85,Atuona,PF,2021-11-20 16:00:55,-9.8,-139.0333,79.21,67,2,12.77
86,Kiama,AU,2021-11-20 15:57:13,-34.6833,150.8667,60.39,95,100,1.01
87,Pizarro,CO,2021-11-20 16:00:56,4.9533,-77.366,78.69,84,83,4.5
88,Careiro Da Varzea,BR,2021-11-20 16:00:56,-3.2003,-59.8119,84.83,65,97,3.6
